learning rate,batch size,hid_size,dropout,F1 score,Acc
0.0007,64,300,0.2,0.9485915492957748,0.9529675251959686
0.0007,64,300,0.3,0.9491525423728814,0.9496080627099664
0.0007,64,300,0.4,0.9530367231638418,0.9563269876819708
0.0009,128,200,0.1,0.9438874230430956,0.9507278835386338
0.0009,128,200,0.2,0.9419469026548672,0.948488241881299
0.0009,128,200,0.3,0.9476090014064698,0.9529675251959686
0.0009,128,200,0.4,0.9487043892120572,0.9585666293393056
0.0009,128,300,0.1,0.9444542408746252,0.9473684210526316
0.0009,128,300,0.2,0.9456406636074832,0.9518477043673012
0.0009,128,300,0.3,0.9489256780556536,0.9585666293393056
0.0009,128,300,0.4,0.9470722700896782,0.9608062709966404
0.0009,32,200,0.1,0.9486725663716814,0.954087346024636
0.0009,32,200,0.2,0.9516754850088184,0.9529675251959686
0.0009,32,200,0.3,0.94562730951962,0.9496080627099664
0.0009,32,200,0.4,0.9515729939908096,0.9529675251959686
0.0009,32,300,0.1,0.9429630937665548,0.9473684210526316
0.0009,32,300,0.2,0.9498941425546932,0.9507278835386338
0.0009,32,300,0.3,0.9511032656663724,0.9406494960806272
0.0009,32,300,0.4,0.9479606188466948,0.9574468085106383
0.0009,64,200,0.1,0.9463087248322148,0.954087346024636
0.0009,64,200,0.2,0.950999469308332,0.954087346024636
0.0009,64,200,0.3,0.9512581383072322,0.9585666293393056
0.0009,64,200,0.4,0.947795414462081,0.9563269876819708
0.0009,64,300,0.1,0.9443175829966626,0.948488241881299
0.0009,64,300,0.2,0.939324252609234,0.9462486002239642
0.0009,64,300,0.3,0.9480176211453744,0.9552071668533034
0.0009,64,300,0.4,0.9518093556928507,0.9518477043673012
0.001,128,200,0.1,0.9472197705207416,0.954087346024636
0.001,128,200,0.2,0.9515076706048315,0.954087346024636
0.001,128,200,0.3,0.9503094606542882,0.9563269876819708
0.001,128,200,0.4,0.9527182574818488,0.9563269876819708
0.001,128,300,0.1,0.9466595782385256,0.9440089585666294
0.001,128,300,0.2,0.943536931818182,0.9552071668533034
0.001,128,300,0.3,0.9464222770532252,0.9507278835386338
0.001,128,300,0.4,0.9501766784452296,0.9552071668533034
0.001,32,200,0.1,0.943836100317909,0.9496080627099664
0.001,32,200,0.2,0.9464254347444228,0.9518477043673012
0.001,32,200,0.3,0.9479277364505846,0.9574468085106383
0.001,32,200,0.4,0.948758584257792,0.9641657334826428
0.001,32,300,0.1,0.9478337754199824,0.954087346024636
0.001,32,300,0.2,0.951004582305252,0.9552071668533034
0.001,32,300,0.3,0.9490569363652388,0.9529675251959686
0.001,32,300,0.4,0.9494807252244324,0.961926091825308
0.001,64,200,0.1,0.9387323943661972,0.9361702127659576
0.001,64,200,0.2,0.9456733321536012,0.954087346024636
0.001,64,200,0.3,0.9482029598308668,0.9552071668533034
0.001,64,200,0.4,0.9473127753303964,0.9574468085106383
0.001,64,300,0.1,0.9421080415273624,0.9529675251959686
0.001,64,300,0.2,0.9485411140583556,0.9563269876819708
0.001,64,300,0.3,0.9491704906459584,0.942889137737962
0.001,64,300,0.4,0.9471272470919986,0.9518477043673012
